Student Records

ID    Name             Age   Gender
1   Amina Hassan       20    Female
2   Ahmed Ali          21    Male
3   Fatima Yusuf       19    Female
4   Mohamed Noor       22    Male
5   Khadija Omar       20    Female
6   Abdi Ibrahim       23    Male
7   Maryan Ahmed       21    Female
8   Hassan Mohamed     20    Male
9   Safiya Ismail      19    Female
10   Ali Abdullahi     22    Male
11   Hani Osman        21    Female
12   Bashir Farah      20    Male
13   Fadumo Jama       22    Female
14   Ismail Aden       23    Male
15   Hodan Ali         20    Female
16   Yusuf Hassan      21    Male
17   Nasteho Mohamed   22    Female
18   Abdulahi Ahmed    20    Male
19   Ruqiya Abdi       19    Female
20   Omar Hassan       21    Male
21   Mohamed Ali       24    Male
22 Asha Hassan         19   Female
23   Ahmed Yusuf        21   Male
24   Hibo Omar          20   Female
25   Ibrahim Mohamed    22   Male
26   Fardowsa Ali        21  Female
27   Hassan Abdi         23  Male
28   Nimo Ahmed          20  Female
29   Ismail Hassan       22   Male
30   Zamzam Mohamed      19   Female
31   Abdullahi Noor      21   Male
32   Ifrah Ali           20   Female
33   Osman Hassan        23   Male
34   Luul Ahmed          22   Female
35   Mohamed Ismail       20   Male
36   Sahra Omar           21   Female
37   Bashir Ali           22   Male
38   Hani Hassan          19   Female
39   Abdirahman Yusuf     23   Male"
40   Ayan Yusuf           20   Female
 41 Jama Abdi             22   Male
 42   Maryan Ali          21   Female
 43   Hassan Jama         20   Male
 44   Rahma Hassan         19   Female
 45   Ahmed Nur            22   Male
 46   Shukri Mohamed       20   Female
 47   Yusuf Ali            21   Male
 48   Ikraan Hassan        22   Female
 49   Mohamed Farah        20   Male
 50   Fadumo Ali           19   Female
 51   Abdiqani Hassan      23   Male
 52   Hawa Mohamed         20   Female
 53   Osman Ali            21   Male
 54   Nasteho Hassan       22   Female
 55   Ibrahim Nur          20   Male
 56   Ubah Ahmed           21   Female
 57   Ahmed Farah          22   Male
 58   Roda Ali             19   Female
 59   Mohamed Jama         23   Male
 60   Samira Hassan        20   Female
 61   Ali Nur              21   Male
 62   Hibo Ismail          20   Female
 63   Abdifatah Mohamed    22   Male
 64   Amina Ali            21   Female
 65   Hassan Yusuf         20   Male
 66   Deeqa Omar           22   Female
 67   Abdirizak Hassan     23   Male
 68   Nasra Ahmed          19   Female
 69   Mohamed Aden         20   Male
 70   Hodan Nur            21   Female
 71   Bashir Mohamed       22   Male
 72   Asha Ismail          20   Female
 73   Ahmed Jama           21   Male
Summary
-------
Male Students: 10
Female Students: 10
Total Students: 20
